,Fairfield,Litchfield,Hartford,New Haven,Middlesex,Tolland,Windham,New London,Unknown
2020-03-08,0,,,,,,,,
2020-03-09,0,,,,,,,,
2020-03-10,0,,,,,,,,
2020-03-11,0,,,,,,,,
2020-03-12,0,0,,,,,,,
2020-03-13,0,0,,,,,,,
2020-03-14,0,0,0,0,,,,,
2020-03-15,0,0,0,0,,,,,
2020-03-16,0,0,0,0,,,,,
2020-03-17,0,0,0,0,,,,,
2020-03-18,1,0,0,0,0,,,,
2020-03-19,4,0,0,0,0,0,0,,
2020-03-20,4,0,0,0,0,0,0,0,
2020-03-21,4,0,0,0,0,1,0,0,
2020-03-22,5,0,1,0,0,2,0,0,
2020-03-23,6,0,2,0,0,2,0,0,
2020-03-24,7,0,2,0,0,3,0,0,
2020-03-25,12,0,2,2,0,3,0,0,
2020-03-26,13,0,2,2,1,3,0,0,
2020-03-27,15,0,2,6,1,3,0,0,
2020-03-28,20,0,2,6,1,4,0,0,
2020-03-29,21,0,2,6,1,4,0,0,
2020-03-30,21,1,3,6,1,4,0,0,0
2020-03-31,38,1,7,12,1,7,0,1,2
2020-04-01,46,1,11,15,2,7,0,1,2
2020-04-02,65,2,13,17,3,10,0,1,1
2020-04-03,76,4,18,18,2,10,0,3,1
2020-04-04,86,5,26,29,4,10,1,3,1
2020-04-05,96,6,29,36,5,11,1,4,1
2020-04-06,101,8,31,41,7,13,1,4,0
2020-04-07,132,9,48,60,7,13,1,4,3
2020-04-08,155,12,68,70,9,13,1,5,2
2020-04-09,178,13,75,78,14,13,1,6,2
2020-04-10,203,16,88,98,17,14,1,7,4
2020-04-11,220,20,101,107,18,15,1,7,5
2020-04-12,248,24,116,119,18,17,1,7,4
2020-04-13,262,24,133,135,19,17,1,7,4
2020-04-14,287,29,153,151,21,18,1,7,4
2020-04-15,365,35,213,195,28,22,1,7,2
2020-04-16,406,44,243,214,30,22,1,9,2
2020-04-17,425,46,266,229,32,24,2,10,2
2020-04-18,432,48,289,241,37,24,2,10,3
2020-04-19,447,48,295,257,40,24,2,10,4
2020-04-20,512,58,369,301,45,27,2,13,4
2020-04-21,544,59,402,322,47,30,2,13,4
2020-04-22,584,63,442,345,53,32,4,14,7
2020-04-23,615,66,469,372,57,33,4,17,6
2020-04-24,662,69,511,396,63,34,4,23,2
2020-04-25,689,73,553,416,62,35,4,28,2
2020-04-26,707,74,579,429,66,35,4,31,0
2020-04-27,727,75,612,456,69,35,4,34,0
2020-04-28,747,76,643,478,70,35,4,34,2
2020-04-29,774,79,670,493,76,36,4,35,1
2020-04-30,810,80,698,512,79,36,4,36,2
2020-05-01,839,86,715,533,82,38,2,42,2
2020-05-02,865,89,741,565,91,39,2,43,1
2020-05-03,865,89,741,565,91,39,2,43,1
2020-05-04,910,94,773,595,93,40,3,45,3
2020-05-05,935,95,804,610,95,43,4,45,2
2020-05-06,952,100,842,629,98,44,4,47,2
2020-05-07,977,104,867,643,104,46,5,49,2
2020-05-08,1006,103,884,669,108,46,5,50,3
2020-05-09,1017,105,901,686,114,46,6,54,3
2020-05-10,1024,107,909,701,115,47,7,54,3
2020-05-11,1034,109,921,716,115,47,7,56,3
2020-05-12,1046,110,931,723,116,47,7,58,3
2020-05-13,1068,110,963,745,116,49,9,60,5
2020-05-14,1093,115,999,767,118,51,11,62,3
2020-05-15,1109,115,1025,783,124,51,12,63,3
2020-05-16,1125,116,1044,800,124,51,12,65,2
2020-05-17,1146,116,1069,817,125,54,14,66,1
2020-05-18,1153,115,1084,830,131,54,14,66,2
2020-05-19,1160,117,1090,838,131,54,14,66,2
2020-05-20,1167,121,1116,855,131,55,14,68,2
2020-05-21,1180,121,1133,874,130,55,14,73,2
2020-05-22,1195,121,1155,888,135,55,14,72,2
2020-05-23,1208,122,1169,897,136,55,14,72,2
2020-05-24,1215,121,1175,903,136,55,14,74,0
2020-05-25,1221,126,1187,922,138,56,14,78,0
2020-05-26,1231,129,1193,925,142,56,14,78,1
2020-05-27,1242,130,1203,934,143,57,14,79,1
2020-05-28,1246,128,1208,946,144,57,14,83,0
2020-05-29,1257,130,1222,957,146,57,14,85,0
2020-05-30,1267,131,1238,966,150,57,14,89,0
2020-05-31,1277,133,1250,972,152,57,14,89,0
2020-06-01,1288,136,1254,973,153,58,13,89,0
2020-06-02,1287,133,1253,985,150,60,14,90,0
2020-06-03,1289,133,1259,990,152,60,14,92,0
2020-06-04,1293,134,1266,992,154,60,14,94,0
2020-06-05,1304,134,1277,999,155,60,14,95,0
2020-06-06,1309,134,1279,1007,157,60,14,95,0
2020-06-07,1312,134,1287,1010,159,60,14,95,0
2020-06-08,1316,134,1291,1013,160,60,14,96,0
2020-06-09,1319,136,1291,1016,163,61,15,96,0
2020-06-10,1321,134,1303,1024,164,61,14,97,2
2020-06-11,1333,135,1308,1031,165,62,14,98,0
2020-06-12,1337,135,1313,1034,166,62,14,98,0
2020-06-13,1345,135,1321,1041,168,62,14,100,0
2020-06-14,1346,136,1327,1044,171,62,14,101,0
2020-06-15,1347,135,1328,1045,171,62,14,102,0
2020-06-16,1350,135,1330,1046,171,62,14,102,0
2020-06-17,1352,135,1331,1052,171,63,14,101,0
2020-06-18,1352,135,1336,1052,172,64,14,101,0
2020-06-19,1355,135,1341,1056,172,64,14,101,0
2020-06-20,1361,135,1344,1060,172,64,14,101,0
2020-06-21,1361,135,1350,1061,174,64,14,101,0
2020-06-22,1362,135,1350,1063,174,64,14,101,0
2020-06-23,1367,136,1352,1065,177,64,14,102,0
2020-06-24,1370,136,1356,1066,179,64,14,102,0
2020-06-25,1373,136,1362,1068,179,64,14,102,0
2020-06-26,1375,136,1365,1069,182,64,14,102,0
2020-06-27,1375,136,1369,1069,182,64,14,102,0
2020-06-28,1375,136,1369,1073,183,64,14,102,0
2020-06-29,1376,136,1370,1075,183,64,14,102,0
2020-06-30,1376,137,1370,1075,184,64,14,102,0
2020-07-01,1376,137,1373,1073,185,64,14,102,0
2020-07-02,1376,137,1374,1074,185,64,14,102,0
2020-07-03,1377,137,1378,1077,186,64,14,102,0
2020-07-04,1377,137,1378,1077,186,64,14,102,0
2020-07-05,1377,137,1378,1077,186,64,14,102,0
2020-07-06,1377,137,1380,1078,186,64,14,102,0
2020-07-07,1377,137,1380,1078,186,64,14,102,0
2020-07-08,1378,137,1382,1079,187,64,14,102,0
2020-07-09,1380,137,1385,1079,187,64,14,102,0
2020-07-10,1380,137,1385,1079,187,64,14,102,0
2020-07-11,1380,137,1385,1079,187,64,14,102,0
2020-07-12,1380,137,1385,1079,187,64,14,102,0
2020-07-13,1385,139,1391,1087,187,65,14,101,2
2020-07-14,1385,138,1394,1087,187,65,14,102,0
2020-07-15,1387,138,1398,1088,188,65,14,102,0
2020-07-16,1391,138,1402,1088,189,65,14,102,0
2020-07-17,1395,138,1403,1090,189,65,14,102,0
2020-07-18,1395,138,1403,1090,189,65,14,102,0
2020-07-19,1395,138,1403,1090,189,65,14,102,0
2020-07-20,1399,138,1406,1092,189,65,15,102,0
2020-07-21,1399,138,1406,1092,189,65,15,102,0
2020-07-22,1399,138,1407,1092,188,65,15,102,0
2020-07-23,1401,138,1408,1093,188,65,15,102,0
2020-07-24,1402,138,1408,1095,188,65,15,102,0
2020-07-25,1402,138,1408,1095,188,65,15,102,0
2020-07-26,1402,138,1408,1095,188,65,15,102,0
2020-07-27,1402,138,1410,1097,189,65,15,102,0
2020-07-28,1403,138,1411,1099,189,65,15,103,0
2020-07-29,1404,138,1411,1100,189,65,15,103,0
2020-07-30,1406,138,1411,1101,191,66,15,103,0
2020-07-31,1406,138,1412,1101,191,66,15,103,0
2020-08-01,1406,138,1412,1101,191,66,15,103,0
2020-08-02,1406,138,1412,1101,191,66,15,103,0
2020-08-03,1408,138,1412,1104,191,66,15,103,0
2020-08-04,1408,138,1412,1104,191,66,15,103,0
2020-08-05,1408,138,1412,1104,191,66,15,103,0
2020-08-06,1406,138,1414,1104,191,66,15,103,0
2020-08-07,1408,138,1415,1104,192,66,15,103,0
2020-08-08,1408,138,1415,1104,192,66,15,103,0
2020-08-09,1408,138,1415,1104,192,66,15,103,0
2020-08-10,1409,138,1415,1106,192,66,15,103,0
2020-08-11,1409,138,1415,1106,192,66,15,103,0
2020-08-12,1410,139,1416,1109,192,65,15,104,0
2020-08-13,1410,139,1416,1109,192,65,15,104,0
2020-08-14,1410,139,1419,1109,192,65,15,104,0
2020-08-15,1410,139,1419,1109,192,65,15,104,0
2020-08-16,1410,139,1419,1109,192,65,15,104,0
2020-08-17,1411,139,1420,1109,192,65,15,105,0
2020-08-18,1411,139,1420,1109,192,65,15,105,0
2020-08-19,1410,139,1419,1111,192,65,15,106,0
2020-08-20,1410,139,1420,1111,192,65,15,106,0
2020-08-21,1411,139,1422,1111,192,65,15,105,0
2020-08-22,1411,139,1422,1111,192,65,15,105,0
2020-08-23,1411,139,1422,1111,192,65,15,105,0
2020-08-24,1411,139,1422,1111,192,65,15,105,0
2020-08-25,1412,139,1424,1110,192,65,15,106,0
2020-08-26,1413,139,1424,1109,192,65,15,106,0
2020-08-27,1413,139,1426,1109,192,65,15,106,0
2020-08-28,1413,139,1426,1109,192,65,15,106,0
2020-08-29,1413,139,1426,1109,192,65,15,106,0
2020-08-30,1413,139,1426,1109,192,65,15,106,0
2020-08-31,1414,138,1425,1109,192,65,15,107,0
2020-09-01,1415,138,1425,1109,192,65,15,107,0
2020-09-02,1415,138,1426,1109,192,65,15,107,0
2020-09-03,1415,139,1426,1109,192,65,15,107,0
2020-09-04,1415,139,1426,1109,192,65,15,107,0
2020-09-05,1415,139,1426,1109,192,65,15,107,0
2020-09-06,1415,139,1426,1109,192,65,15,107,0
2020-09-07,1415,139,1426,1109,192,65,15,107,0
2020-09-08,1417,139,1428,1109,193,65,15,108,0
2020-09-09,1417,139,1428,1109,193,65,15,108,0
2020-09-10,1417,139,1430,1110,193,65,15,109,0
2020-09-11,1418,139,1430,1110,193,65,15,110,0
2020-09-12,1418,139,1430,1110,193,65,15,110,0
2020-09-13,1418,139,1430,1110,193,65,15,110,0
2020-09-14,1419,140,1431,1111,193,65,15,111,0
2020-09-15,1419,140,1431,1111,193,65,15,111,0
2020-09-16,1419,140,1433,1111,193,65,15,111,0
2020-09-17,1419,140,1434,1111,193,65,15,111,0
2020-09-18,1420,140,1434,1111,193,65,15,114,0
2020-09-19,1420,140,1434,1111,193,65,15,114,0
2020-09-20,1420,140,1434,1111,193,65,15,114,0
2020-09-21,1420,140,1434,1112,193,66,15,114,1
2020-09-22,1421,140,1434,1113,193,66,15,114,0
2020-09-23,1421,140,1434,1114,193,66,15,114,0
2020-09-24,1421,141,1434,1115,193,66,15,114,0
2020-09-25,1422,141,1434,1115,193,67,15,114,0
2020-09-26,1422,141,1434,1115,193,67,15,114,0
2020-09-27,1422,141,1434,1115,193,67,15,114,0
2020-09-28,1422,141,1434,1115,193,67,16,115,0
2020-09-29,1422,141,1436,1115,193,67,16,115,0
2020-09-30,1422,141,1437,1115,193,67,16,117,0
2020-10-01,1422,141,1439,1115,193,67,16,118,0
2020-10-02,1423,141,1439,1115,193,67,16,119,0
