,Forrest,Copiah,Leflore,Pearl River,Hinds,Hancock,Monroe,Harrison,Jackson,Bolivar,Coahoma,DeSoto,Madison,Perry,Holmes,Jones,Scott,Walthall,Wilkinson,Winston,Yazoo,Adams,Franklin,Humphreys,Lafayette,Lawrence,Lee,Marshall,Pike,Rankin,Smith,Tippah,Attala,Clay,George,Grenada,Itawamba,Leake,Lincoln,Lowndes,Panola,Simpson,Tunica,Union,Washington,Chickasaw,Montgomery,Oktibbeha,Pontotoc,Sunflower,Tate,Webster,Lamar,Marion,Tallahatchie,Choctaw,Newton,Noxubee,Amite,Calhoun,Prentiss,Benton,Lauderdale,Quitman,Yalobusha,Jefferson,Kemper,Neshoba,Sharkey,Unknown,Clarke,Covington,Carroll,Claiborne,Warren,Alcorn,Tishomingo,Jasper,Wayne,Stone,Greene,Jefferson Davis
2020-03-11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,3,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,3,2,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,3,2,4,2,6,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,3,2,4,4,6,2,1,4,1,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,4,2,4,7,6,2,1,7,2,2,2,2,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,4,2,7,7,7,3,2,8,3,2,3,4,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21,5,2,7,9,14,4,2,10,5,2,5,13,7,1,3,1,1,1,1,1,1,1,2,1,2,1,5,2,2,7,1,3,1,1,1,1,3,1,1,4,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22,11,4,8,10,20,4,2,15,5,3,7,18,9,1,6,1,1,2,3,2,1,1,3,1,5,2,6,3,3,7,1,7,1,1,1,2,3,1,4,4,2,1,2,1,3,1,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,11,4,9,12,24,4,2,21,7,4,8,23,11,1,6,1,1,2,3,2,1,2,3,1,5,2,8,3,4,8,1,9,1,1,1,2,3,1,4,6,2,1,2,1,4,3,1,5,1,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-24,14,5,10,13,31,5,3,24,10,4,11,29,14,1,6,1,2,2,4,2,3,2,3,1,8,2,12,3,7,13,1,11,3,1,1,2,3,2,4,6,2,1,3,1,5,6,2,5,2,3,1,2,2,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-25,15,6,13,13,38,5,3,25,12,4,11,36,17,1,7,1,3,3,5,3,3,2,3,1,8,3,14,4,10,20,1,11,4,1,1,2,3,3,4,6,2,1,3,2,5,6,4,7,2,3,2,2,2,1,2,3,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
2020-03-26,16,8,13,16,43,6,3,31,16,6,17,49,21,1,7,1,4,4,8,3,4,3,3,1,10,5,15,7,12,23,1,14,7,1,1,2,3,4,6,8,4,1,5,2,9,7,4,10,3,4,6,2,4,1,2,4,1,1,1,3,1,1,3,2,3,,,,,,,,,,,,,,,,,
2020-03-27,16,8,13,18,50,9,3,34,24,9,18,63,25,2,10,1,6,4,9,3,4,2,3,1,11,5,15,9,12,29,1,15,8,2,1,2,3,4,6,9,4,1,6,3,11,9,4,12,4,5,8,3,4,1,2,4,1,1,,3,1,2,10,3,3,1,1,1,1,6,,,,,,,,,,,,
2020-03-28,18,8,15,23,58,9,3,38,33,11,18,65,29,2,13,3,7,5,11,4,4,6,3,2,11,5,17,11,12,31,1,18,9,2,1,2,3,4,8,10,4,2,6,3,13,10,5,14,4,7,8,3,4,3,2,4,1,2,1,3,2,2,12,4,3,1,1,3,1,6,1,1,,,,,,,,,,
2020-03-29,19,8,15,27,66,15,5,43,34,11,18,71,37,2,13,5,7,5,12,4,5,7,3,2,13,5,21,13,14,35,1,23,9,2,3,3,3,5,9,10,5,2,6,3,16,10,6,15,4,10,9,3,4,4,2,5,1,2,4,3,4,4,15,4,3,1,1,4,1,,1,1,1,1,1,,,,,,,
2020-03-30,21,8,18,27,74,15,5,44,39,16,20,77,38,3,14,6,9,5,13,6,7,8,3,2,14,5,23,13,16,37,1,23,10,4,3,3,3,5,11,10,6,2,12,3,18,12,7,15,5,11,11,5,4,4,2,6,2,3,4,3,4,4,23,4,5,1,1,4,1,,1,2,1,1,1,1,,,,,,
2020-03-31,21,9,19,30,90,16,6,45,40,22,21,84,42,3,15,6,10,5,14,7,9,10,3,3,15,5,24,14,17,40,1,26,10,4,3,3,3,5,11,11,7,2,12,3,20,13,7,17,5,11,11,5,5,5,2,6,2,3,4,3,4,4,35,3,6,1,1,4,1,4,4,2,1,1,1,3,1,,,,,
2020-04-01,27,9,20,32,109,20,7,49,52,25,22,94,53,5,16,6,12,7,16,9,9,11,3,4,15,5,25,15,20,48,1,28,11,5,4,3,4,5,13,11,8,3,13,3,22,15,8,18,6,12,11,7,6,6,2,7,2,3,4,3,4,4,39,4,6,1,1,5,2,4,5,3,2,1,2,3,1,1,,,,
2020-04-02,26,10,20,36,118,22,11,53,57,27,23,103,55,6,16,6,13,10,17,9,11,14,3,4,16,5,24,18,21,50,6,29,12,7,4,4,3,6,14,10,8,4,14,4,29,14,8,20,10,12,12,8,8,5,2,7,4,4,4,4,4,5,46,4,7,1,4,4,2,,4,3,3,1,2,3,1,2,1,,,
2020-04-03,30,11,21,41,139,28,12,69,75,32,26,111,65,11,16,8,17,11,22,11,13,14,3,4,21,5,26,19,21,64,6,30,14,7,4,4,3,7,14,12,8,5,14,5,31,15,10,23,11,13,13,8,9,5,2,7,4,5,5,4,9,5,50,4,7,1,4,5,2,,4,4,5,1,2,6,1,3,1,,,
2020-04-04,34,12,22,43,140,30,12,70,79,34,27,118,67,13,17,9,17,12,25,11,19,16,4,4,21,4,28,20,23,66,6,31,14,7,4,4,3,8,14,13,10,5,15,6,31,15,10,24,12,18,14,11,13,6,2,8,6,5,6,4,9,5,61,5,9,2,4,6,2,,5,4,5,1,3,6,1,3,2,,,
2020-04-05,42,16,22,49,154,31,13,73,86,45,28,132,72,14,21,11,23,12,30,12,31,19,5,4,22,4,30,20,26,72,10,35,15,7,5,7,3,10,16,15,17,5,17,6,36,15,11,27,12,19,15,11,13,7,3,8,7,5,6,4,9,5,65,6,9,3,5,9,3,,5,6,5,1,5,6,1,3,5,1,,
2020-04-06,46,16,23,52,158,30,16,79,98,51,29,136,74,14,23,13,23,12,30,15,32,19,5,4,22,5,30,23,28,74,11,36,15,9,5,7,4,11,18,15,17,6,18,6,38,15,11,27,12,19,16,12,15,8,3,8,7,5,6,9,10,5,70,7,11,3,6,11,3,,8,6,6,1,5,6,1,3,5,1,1,
2020-04-07,59,17,26,56,169,31,18,89,108,54,30,140,82,14,25,14,32,14,32,17,32,24,5,5,25,5,38,24,31,78,11,36,15,10,5,8,5,15,21,16,19,7,17,6,40,15,12,29,12,25,18,12,18,13,3,9,7,5,7,10,10,5,78,9,11,3,10,12,3,,10,7,7,3,7,6,1,4,5,3,1,
2020-04-08,59,19,28,60,178,32,19,88,111,54,32,144,83,14,27,15,34,15,33,16,38,25,5,6,26,6,40,24,33,79,15,37,15,11,5,8,5,15,26,17,19,6,17,6,41,17,12,30,13,27,18,13,19,14,3,9,7,5,7,13,10,5,84,12,11,4,11,13,3,,10,7,7,3,9,6,1,4,5,4,1,
2020-04-09,71,27,32,73,203,37,24,96,122,57,35,150,88,14,31,19,43,16,37,17,47,27,8,7,26,8,40,26,35,85,16,41,17,14,5,10,7,22,32,18,21,6,17,6,46,20,13,35,14,32,19,13,24,16,3,9,8,5,10,13,10,5,99,12,11,4,13,17,3,,12,7,7,3,10,6,2,10,6,5,1,4
2020-04-10,76,30,43,77,219,37,25,99,135,61,37,158,95,15,39,25,47,16,40,17,55,42,9,9,28,7,41,28,39,88,17,42,17,17,7,10,8,22,41,19,22,7,18,7,48,21,14,36,14,34,22,13,28,17,3,9,10,6,10,13,12,5,118,12,11,4,14,21,3,,13,8,7,3,12,7,2,10,7,5,1,5
2020-04-11,86,28,44,82,234,38,31,107,139,65,38,163,99,16,42,30,52,16,42,18,58,49,10,9,29,6,42,30,47,94,23,43,18,17,7,10,9,27,41,22,22,7,19,7,49,22,14,36,14,35,23,14,31,17,3,10,12,6,11,14,12,5,133,12,13,4,14,26,3,,13,12,7,5,11,7,2,12,8,9,2,5
2020-04-12,95,31,45,83,247,40,36,110,140,68,38,171,103,18,44,33,54,18,45,19,63,51,10,9,29,6,43,33,54,99,24,43,20,18,7,10,9,27,46,24,22,7,21,7,53,24,14,37,15,35,24,14,32,21,3,10,10,6,12,18,13,5,135,12,14,4,14,31,3,,13,14,7,6,14,7,2,14,8,10,2,5
2020-04-13,105,31,48,88,259,40,37,112,147,68,38,178,106,19,46,37,58,21,49,20,64,57,10,11,30,6,46,34,59,100,28,44,20,20,8,11,9,29,49,25,23,7,21,7,57,30,15,37,15,38,24,14,38,21,4,11,10,6,14,24,14,5,150,12,14,4,14,34,3,,15,15,8,7,14,7,2,14,9,11,2,5
2020-04-14,114,31,52,93,263,46,38,121,157,69,39,188,108,20,47,40,62,22,49,20,64,62,10,11,33,7,46,34,62,105,30,45,22,20,10,13,9,32,56,25,26,7,23,8,57,32,15,37,15,41,25,14,46,25,4,11,14,6,14,25,14,5,156,12,14,4,14,33,3,,15,15,8,6,14,7,2,14,9,14,2,6
2020-04-15,122,35,55,102,280,49,46,129,182,70,43,199,112,20,52,42,79,22,51,22,65,64,10,12,36,7,46,35,72,113,36,45,25,21,8,14,11,40,81,27,26,12,23,9,62,33,15,41,15,42,26,14,48,34,6,11,14,10,15,27,15,5,165,13,14,4,15,35,3,,19,19,9,8,15,7,2,15,9,15,3,7
2020-04-16,134,39,62,112,301,50,54,134,189,74,45,211,116,20,53,48,100,22,53,24,72,70,14,12,39,10,48,37,82,122,37,45,28,21,8,14,13,50,86,30,27,13,26,9,67,37,15,42,16,43,27,15,56,35,7,11,16,18,16,30,15,5,174,13,14,4,16,39,3,,20,19,9,8,16,7,2,19,10,16,3,7
2020-04-17,137,40,70,115,314,50,58,137,196,76,45,213,123,21,54,56,96,22,53,27,81,73,14,12,39,12,49,37,93,128,38,45,31,22,9,15,13,60,95,30,27,14,28,9,68,39,15,42,17,45,27,17,57,38,8,11,19,20,17,32,16,6,181,13,14,4,16,46,3,,21,22,10,8,17,7,2,20,10,17,3,8
2020-04-18,137,41,75,119,325,50,62,144,201,79,46,220,127,22,58,63,106,23,55,29,85,73,15,12,40,14,54,39,97,130,39,46,34,24,10,19,21,64,102,32,30,14,30,9,70,40,15,43,17,46,29,15,59,39,8,11,21,20,16,36,16,5,190,13,15,4,17,55,3,,22,28,10,8,18,7,3,22,10,17,3,8
2020-04-19,144,46,91,126,337,52,68,144,205,82,48,234,135,22,58,70,130,24,58,33,91,81,16,12,64,16,60,38,104,133,45,47,36,25,10,20,21,77,101,32,35,21,31,11,71,43,15,43,18,47,31,15,67,43,8,12,26,22,17,39,19,7,202,13,15,4,19,65,3,,27,29,14,10,21,8,4,23,11,18,3,8
2020-04-20,147,46,105,132,347,53,75,145,209,85,49,238,140,22,60,74,148,24,61,36,95,83,16,12,67,17,63,38,115,141,47,47,44,26,10,26,26,86,107,34,36,28,32,11,71,45,15,43,18,47,34,15,71,47,8,13,30,22,17,42,25,8,220,13,16,6,21,73,3,,29,33,14,10,22,7,4,23,12,19,3,10
2020-04-21,151,51,109,134,357,53,95,151,211,86,52,239,144,22,61,80,158,24,64,34,103,90,17,13,68,20,64,39,118,146,50,49,49,27,10,26,26,99,109,35,37,32,33,12,71,51,17,44,18,48,34,16,76,47,8,13,32,24,18,42,27,9,232,13,17,5,23,82,3,,31,37,14,10,25,7,4,23,12,19,4,12
2020-04-22,158,52,113,136,377,54,99,150,221,87,53,244,151,22,78,88,163,25,66,36,103,96,16,14,70,22,64,39,118,148,51,49,51,27,10,27,27,108,121,36,37,32,34,12,71,51,16,44,18,50,35,16,79,48,9,13,33,24,20,43,28,8,235,13,17,5,25,91,3,,36,38,15,12,29,7,5,24,11,21,4,12
2020-04-23,164,59,119,142,383,55,109,152,228,89,53,252,165,23,83,94,177,27,65,37,110,101,17,14,81,25,66,40,126,153,53,49,62,28,10,27,30,118,125,36,38,33,34,14,71,52,16,45,18,51,35,16,79,53,9,13,45,29,24,43,29,9,249,14,17,5,27,102,4,,37,40,15,12,32,8,5,27,17,22,4,13
2020-04-24,174,65,124,144,401,56,117,157,235,90,54,256,178,23,92,104,200,27,66,38,117,104,16,14,83,26,70,40,127,154,55,50,68,29,11,27,32,136,132,38,38,36,34,14,74,53,17,46,18,51,38,17,82,55,11,13,51,35,23,46,29,9,268,14,17,5,31,116,4,,43,43,15,13,39,9,7,29,16,22,4,19
2020-04-25,181,68,131,148,412,59,123,158,237,94,54,263,186,25,100,116,240,27,68,38,120,109,16,14,87,30,72,41,133,162,58,51,80,32,11,27,33,149,136,41,36,38,34,14,77,56,18,46,18,51,38,16,85,57,11,13,58,45,23,48,29,9,284,14,17,8,40,119,4,,44,45,15,18,45,9,7,32,19,22,4,22
2020-04-26,190,71,136,152,415,60,134,158,238,96,56,261,194,26,105,118,249,28,68,38,122,113,16,14,88,35,72,41,136,167,60,52,82,31,11,27,37,158,136,41,37,40,35,15,78,63,19,46,18,51,38,16,89,58,11,13,61,46,23,50,30,9,295,14,18,9,43,153,4,,46,50,18,19,47,9,7,31,19,22,4,25
2020-04-27,190,79,137,153,421,60,144,159,240,101,58,266,208,26,114,130,258,29,68,40,126,116,17,18,88,36,70,41,136,171,65,52,86,31,11,27,49,161,136,45,38,40,35,15,77,64,19,46,18,52,38,16,92,58,11,13,64,52,26,50,32,9,304,14,19,12,49,156,5,,47,51,20,19,50,8,8,32,19,22,4,27
2020-04-28,196,83,141,154,435,61,153,166,252,101,60,272,212,26,121,132,281,30,68,41,129,123,16,18,88,38,71,42,142,179,66,53,89,33,12,28,51,179,136,49,38,43,35,16,77,67,19,48,18,52,39,17,94,66,11,13,73,55,26,50,31,9,318,14,19,16,50,169,5,,49,54,22,19,58,10,7,33,19,22,5,29
2020-04-29,198,88,145,157,450,61,157,171,255,101,61,277,224,26,129,136,296,30,69,43,134,129,16,22,88,42,70,42,143,182,73,53,94,34,13,28,51,190,141,49,38,45,35,16,77,68,20,49,18,53,41,17,102,69,11,13,78,61,26,51,32,9,334,14,19,23,56,174,5,,53,55,25,20,65,10,7,34,20,22,5,31
2020-04-30,207,96,148,163,470,62,157,174,259,102,61,282,229,27,133,143,316,31,69,42,135,133,16,23,89,45,69,43,148,186,74,54,99,40,13,28,57,204,141,54,39,46,35,17,77,68,28,51,18,53,41,18,103,72,11,13,81,66,29,50,32,11,349,14,19,18,57,187,5,,54,62,38,22,68,10,7,42,23,22,5,32
2020-05-01,219,108,164,175,496,62,161,177,267,102,64,293,251,27,153,159,339,32,69,44,139,148,16,24,89,46,71,44,149,194,76,56,109,42,14,32,59,219,143,58,39,47,35,19,77,75,29,51,18,55,42,19,111,75,11,13,87,73,29,52,32,12,365,15,20,20,64,205,5,,55,67,58,23,74,10,7,48,23,22,5,35
2020-05-02,226,114,165,176,505,67,173,181,267,105,66,294,268,27,159,168,354,32,69,47,144,149,16,25,89,50,71,45,153,197,78,56,117,47,14,34,62,229,150,58,39,47,35,25,77,76,32,52,20,55,41,19,114,75,12,13,88,79,28,54,32,12,378,15,20,21,67,212,5,,58,67,60,27,78,10,8,54,24,22,5,38
